petunia_id,function,source,upstream_icon,license,status,local_svg,upstream_url
animation.skeleton,Futuro — Skeleton/Rig,Lucide,bone,ISC,approved_fallback,svg/lucide/bone.svg,https://github.com/lucide-icons/lucide/blob/main/icons/bone.svg
paint.brush,Paint — Brush / Workspace Paint,Heroicons,paint-brush,MIT,approved_fallback,svg/heroicons/paint-brush.svg,https://github.com/tailwindlabs/heroicons/blob/master/src/24/outline/paint-brush.svg
transform.move,Transform — Move 3D,Hugeicons,3d-move,MIT,candidate_not_bundled,,https://icon-sets.iconify.design/hugeicons/3d-move/
transform.scale,Transform — Scale 3D,Hugeicons,3d-scale,MIT,candidate_not_bundled,,https://icon-sets.iconify.design/hugeicons/3d-scale/
workspace.uv,Workspace — UV,Hugeicons,uv-01,MIT,candidate_not_bundled,,https://icon-sets.iconify.design/hugeicons/uv-01/
uv.unwrap,UV — Unwrap,Hugeicons,uv-02,MIT,candidate_not_bundled,,https://icon-sets.iconify.design/hugeicons/uv-02/
model.polygon,Profile — Polygon,MDI,vector-polygon,Apache-2.0,candidate_not_bundled,,https://icon-sets.iconify.design/mdi/vector-polygon/
uv.checker,UV — Checker,MDI,checkerboard,Apache-2.0,candidate_not_bundled,,https://icon-sets.iconify.design/mdi/checkerboard/
reference.photo_projection,Reference — Photo Projection,MDI,image-filter-center-focus,Apache-2.0,candidate_not_bundled,,https://pictogrammers.com/library/mdi/icon/image-filter-center-focus/
game.collision,Pós-GA — Collision Authoring,Phosphor,bounding-box-thin,MIT,candidate_not_bundled,,https://icon-sets.iconify.design/ph/bounding-box-thin/
modifier.stack,Pós-GA — Modifier Stack,Phosphor,stack,MIT,candidate_not_bundled,,https://icon-sets.iconify.design/ph/stack/
spline.core,Pós-GA — Spline Core,MDI,vector-curve,Apache-2.0,candidate_not_bundled,,https://icon-sets.iconify.design/mdi/vector-curve/
morph.targets,Pós-GA — Simple Morph Targets,Phosphor,shapes,MIT,candidate_not_bundled,,https://icon-sets.iconify.design/ph/shapes/
model.push_pull,Model — Push/Pull,Petunia Domain,custom,project,custom_required,,
model.weld,Model — Weld,Petunia Domain,custom,project,custom_required,,
model.dissolve,Model — Dissolve,Petunia Domain,custom,project,custom_required,,
hair.designer,Pós-GA — Low-Poly Hair Designer,Petunia Domain,custom,project,custom_required,,
